Measure	Value	Library
Filename	WUB_VD37_R1_rmphix.fq.gz	WUB_VD37_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD37_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD37_R1_rmphix_fastqc
Total Sequences	25755309	WUB_VD37_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD37_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD37_R1_rmphix_fastqc
%GC	62	WUB_VD37_R1_rmphix_fastqc
Filename	WUB_VD37_R2_rmphix.fq.gz	WUB_VD37_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD37_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD37_R2_rmphix_fastqc
Total Sequences	25755309	WUB_VD37_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD37_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD37_R2_rmphix_fastqc
%GC	62	WUB_VD37_R2_rmphix_fastqc
Filename	WUB_VD38_R1_rmphix.fq.gz	WUB_VD38_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD38_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD38_R1_rmphix_fastqc
Total Sequences	40519637	WUB_VD38_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD38_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD38_R1_rmphix_fastqc
%GC	62	WUB_VD38_R1_rmphix_fastqc
Filename	WUB_VD38_R2_rmphix.fq.gz	WUB_VD38_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD38_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD38_R2_rmphix_fastqc
Total Sequences	40519637	WUB_VD38_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD38_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD38_R2_rmphix_fastqc
%GC	62	WUB_VD38_R2_rmphix_fastqc
Filename	WUB_VD39_R1_rmphix.fq.gz	WUB_VD39_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD39_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD39_R1_rmphix_fastqc
Total Sequences	28110274	WUB_VD39_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD39_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD39_R1_rmphix_fastqc
%GC	62	WUB_VD39_R1_rmphix_fastqc
Filename	WUB_VD39_R2_rmphix.fq.gz	WUB_VD39_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD39_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD39_R2_rmphix_fastqc
Total Sequences	28110274	WUB_VD39_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD39_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD39_R2_rmphix_fastqc
%GC	62	WUB_VD39_R2_rmphix_fastqc
Filename	WUB_VD40_R1_rmphix.fq.gz	WUB_VD40_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD40_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD40_R1_rmphix_fastqc
Total Sequences	28059044	WUB_VD40_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD40_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD40_R1_rmphix_fastqc
%GC	62	WUB_VD40_R1_rmphix_fastqc
Filename	WUB_VD40_R2_rmphix.fq.gz	WUB_VD40_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD40_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD40_R2_rmphix_fastqc
Total Sequences	28059044	WUB_VD40_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD40_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD40_R2_rmphix_fastqc
%GC	62	WUB_VD40_R2_rmphix_fastqc
Filename	WUB_VD41_R1_rmphix.fq.gz	WUB_VD41_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD41_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD41_R1_rmphix_fastqc
Total Sequences	25616977	WUB_VD41_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD41_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD41_R1_rmphix_fastqc
%GC	62	WUB_VD41_R1_rmphix_fastqc
Filename	WUB_VD41_R2_rmphix.fq.gz	WUB_VD41_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD41_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD41_R2_rmphix_fastqc
Total Sequences	25616977	WUB_VD41_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD41_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD41_R2_rmphix_fastqc
%GC	62	WUB_VD41_R2_rmphix_fastqc
Filename	WUB_VD42_R1_rmphix.fq.gz	WUB_VD42_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD42_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD42_R1_rmphix_fastqc
Total Sequences	29440674	WUB_VD42_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD42_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD42_R1_rmphix_fastqc
%GC	62	WUB_VD42_R1_rmphix_fastqc
Filename	WUB_VD42_R2_rmphix.fq.gz	WUB_VD42_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD42_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD42_R2_rmphix_fastqc
Total Sequences	29440674	WUB_VD42_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD42_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD42_R2_rmphix_fastqc
%GC	62	WUB_VD42_R2_rmphix_fastqc
Filename	WUB_VD43_R1_rmphix.fq.gz	WUB_VD43_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD43_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD43_R1_rmphix_fastqc
Total Sequences	38477325	WUB_VD43_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD43_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD43_R1_rmphix_fastqc
%GC	63	WUB_VD43_R1_rmphix_fastqc
Filename	WUB_VD43_R2_rmphix.fq.gz	WUB_VD43_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD43_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD43_R2_rmphix_fastqc
Total Sequences	38477325	WUB_VD43_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD43_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD43_R2_rmphix_fastqc
%GC	63	WUB_VD43_R2_rmphix_fastqc
Filename	WUB_VD44_R1_rmphix.fq.gz	WUB_VD44_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD44_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD44_R1_rmphix_fastqc
Total Sequences	42390730	WUB_VD44_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD44_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD44_R1_rmphix_fastqc
%GC	63	WUB_VD44_R1_rmphix_fastqc
Filename	WUB_VD44_R2_rmphix.fq.gz	WUB_VD44_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD44_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD44_R2_rmphix_fastqc
Total Sequences	42390730	WUB_VD44_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD44_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD44_R2_rmphix_fastqc
%GC	64	WUB_VD44_R2_rmphix_fastqc
Filename	WUB_VD45_R1_rmphix.fq.gz	WUB_VD45_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD45_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD45_R1_rmphix_fastqc
Total Sequences	33548871	WUB_VD45_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD45_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD45_R1_rmphix_fastqc
%GC	63	WUB_VD45_R1_rmphix_fastqc
Filename	WUB_VD45_R2_rmphix.fq.gz	WUB_VD45_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD45_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD45_R2_rmphix_fastqc
Total Sequences	33548871	WUB_VD45_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD45_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD45_R2_rmphix_fastqc
%GC	64	WUB_VD45_R2_rmphix_fastqc
Filename	WUB_VD46_R1_rmphix.fq.gz	WUB_VD46_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD46_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD46_R1_rmphix_fastqc
Total Sequences	36487501	WUB_VD46_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD46_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD46_R1_rmphix_fastqc
%GC	64	WUB_VD46_R1_rmphix_fastqc
Filename	WUB_VD46_R2_rmphix.fq.gz	WUB_VD46_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD46_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD46_R2_rmphix_fastqc
Total Sequences	36487501	WUB_VD46_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD46_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD46_R2_rmphix_fastqc
%GC	64	WUB_VD46_R2_rmphix_fastqc
Filename	WUB_VD47_R1_rmphix.fq.gz	WUB_VD47_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD47_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD47_R1_rmphix_fastqc
Total Sequences	27214411	WUB_VD47_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD47_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD47_R1_rmphix_fastqc
%GC	64	WUB_VD47_R1_rmphix_fastqc
Filename	WUB_VD47_R2_rmphix.fq.gz	WUB_VD47_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD47_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD47_R2_rmphix_fastqc
Total Sequences	27214411	WUB_VD47_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD47_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD47_R2_rmphix_fastqc
%GC	64	WUB_VD47_R2_rmphix_fastqc
Filename	WUB_VD48_R1_rmphix.fq.gz	WUB_VD48_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VD48_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD48_R1_rmphix_fastqc
Total Sequences	30307545	WUB_VD48_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD48_R1_rmphix_fastqc
Sequence length	50-151	WUB_VD48_R1_rmphix_fastqc
%GC	64	WUB_VD48_R1_rmphix_fastqc
Filename	WUB_VD48_R2_rmphix.fq.gz	WUB_VD48_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VD48_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VD48_R2_rmphix_fastqc
Total Sequences	30307545	WUB_VD48_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VD48_R2_rmphix_fastqc
Sequence length	50-151	WUB_VD48_R2_rmphix_fastqc
%GC	64	WUB_VD48_R2_rmphix_fastqc
Filename	WUB_VN01_R1_rmphix.fq.gz	WUB_VN01_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN01_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN01_R1_rmphix_fastqc
Total Sequences	26432980	WUB_VN01_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN01_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN01_R1_rmphix_fastqc
%GC	65	WUB_VN01_R1_rmphix_fastqc
Filename	WUB_VN01_R2_rmphix.fq.gz	WUB_VN01_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN01_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN01_R2_rmphix_fastqc
Total Sequences	26432980	WUB_VN01_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN01_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN01_R2_rmphix_fastqc
%GC	66	WUB_VN01_R2_rmphix_fastqc
Filename	WUB_VN02_R1_rmphix.fq.gz	WUB_VN02_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN02_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN02_R1_rmphix_fastqc
Total Sequences	26220513	WUB_VN02_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN02_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN02_R1_rmphix_fastqc
%GC	65	WUB_VN02_R1_rmphix_fastqc
Filename	WUB_VN02_R2_rmphix.fq.gz	WUB_VN02_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN02_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN02_R2_rmphix_fastqc
Total Sequences	26220513	WUB_VN02_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN02_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN02_R2_rmphix_fastqc
%GC	65	WUB_VN02_R2_rmphix_fastqc
Filename	WUB_VN03_R1_rmphix.fq.gz	WUB_VN03_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN03_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN03_R1_rmphix_fastqc
Total Sequences	29361667	WUB_VN03_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN03_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN03_R1_rmphix_fastqc
%GC	65	WUB_VN03_R1_rmphix_fastqc
Filename	WUB_VN03_R2_rmphix.fq.gz	WUB_VN03_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN03_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN03_R2_rmphix_fastqc
Total Sequences	29361667	WUB_VN03_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN03_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN03_R2_rmphix_fastqc
%GC	65	WUB_VN03_R2_rmphix_fastqc
Filename	WUB_VN04_R1_rmphix.fq.gz	WUB_VN04_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN04_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN04_R1_rmphix_fastqc
Total Sequences	26080364	WUB_VN04_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN04_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN04_R1_rmphix_fastqc
%GC	64	WUB_VN04_R1_rmphix_fastqc
Filename	WUB_VN04_R2_rmphix.fq.gz	WUB_VN04_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN04_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN04_R2_rmphix_fastqc
Total Sequences	26080364	WUB_VN04_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN04_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN04_R2_rmphix_fastqc
%GC	64	WUB_VN04_R2_rmphix_fastqc
Filename	WUB_VN05_R1_rmphix.fq.gz	WUB_VN05_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN05_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN05_R1_rmphix_fastqc
Total Sequences	29570078	WUB_VN05_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN05_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN05_R1_rmphix_fastqc
%GC	64	WUB_VN05_R1_rmphix_fastqc
Filename	WUB_VN05_R2_rmphix.fq.gz	WUB_VN05_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN05_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN05_R2_rmphix_fastqc
Total Sequences	29570078	WUB_VN05_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN05_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN05_R2_rmphix_fastqc
%GC	64	WUB_VN05_R2_rmphix_fastqc
Filename	WUB_VN06_R1_rmphix.fq.gz	WUB_VN06_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN06_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN06_R1_rmphix_fastqc
Total Sequences	26731979	WUB_VN06_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN06_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN06_R1_rmphix_fastqc
%GC	64	WUB_VN06_R1_rmphix_fastqc
Filename	WUB_VN06_R2_rmphix.fq.gz	WUB_VN06_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN06_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN06_R2_rmphix_fastqc
Total Sequences	26731979	WUB_VN06_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN06_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN06_R2_rmphix_fastqc
%GC	64	WUB_VN06_R2_rmphix_fastqc
Filename	WUB_VN07_R1_rmphix.fq.gz	WUB_VN07_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN07_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN07_R1_rmphix_fastqc
Total Sequences	27506862	WUB_VN07_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN07_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN07_R1_rmphix_fastqc
%GC	62	WUB_VN07_R1_rmphix_fastqc
Filename	WUB_VN07_R2_rmphix.fq.gz	WUB_VN07_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN07_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN07_R2_rmphix_fastqc
Total Sequences	27506862	WUB_VN07_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN07_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN07_R2_rmphix_fastqc
%GC	62	WUB_VN07_R2_rmphix_fastqc
Filename	WUB_VN08_R1_rmphix.fq.gz	WUB_VN08_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN08_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN08_R1_rmphix_fastqc
Total Sequences	26985959	WUB_VN08_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN08_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN08_R1_rmphix_fastqc
%GC	63	WUB_VN08_R1_rmphix_fastqc
Filename	WUB_VN08_R2_rmphix.fq.gz	WUB_VN08_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN08_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN08_R2_rmphix_fastqc
Total Sequences	26985959	WUB_VN08_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN08_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN08_R2_rmphix_fastqc
%GC	63	WUB_VN08_R2_rmphix_fastqc
Filename	WUB_VN09_R1_rmphix.fq.gz	WUB_VN09_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN09_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN09_R1_rmphix_fastqc
Total Sequences	26616639	WUB_VN09_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN09_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN09_R1_rmphix_fastqc
%GC	63	WUB_VN09_R1_rmphix_fastqc
Filename	WUB_VN09_R2_rmphix.fq.gz	WUB_VN09_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN09_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN09_R2_rmphix_fastqc
Total Sequences	26616639	WUB_VN09_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN09_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN09_R2_rmphix_fastqc
%GC	63	WUB_VN09_R2_rmphix_fastqc
Filename	WUB_VN10_R1_rmphix.fq.gz	WUB_VN10_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN10_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN10_R1_rmphix_fastqc
Total Sequences	26536241	WUB_VN10_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN10_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN10_R1_rmphix_fastqc
%GC	63	WUB_VN10_R1_rmphix_fastqc
Filename	WUB_VN10_R2_rmphix.fq.gz	WUB_VN10_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN10_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN10_R2_rmphix_fastqc
Total Sequences	26536241	WUB_VN10_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN10_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN10_R2_rmphix_fastqc
%GC	64	WUB_VN10_R2_rmphix_fastqc
Filename	WUB_VN11_R1_rmphix.fq.gz	WUB_VN11_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN11_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN11_R1_rmphix_fastqc
Total Sequences	26492142	WUB_VN11_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN11_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN11_R1_rmphix_fastqc
%GC	63	WUB_VN11_R1_rmphix_fastqc
Filename	WUB_VN11_R2_rmphix.fq.gz	WUB_VN11_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN11_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN11_R2_rmphix_fastqc
Total Sequences	26492142	WUB_VN11_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN11_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN11_R2_rmphix_fastqc
%GC	63	WUB_VN11_R2_rmphix_fastqc
Filename	WUB_VN12_R1_rmphix.fq.gz	WUB_VN12_R1_rmphix_fastqc
File type	Conventional base calls	WUB_VN12_R1_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN12_R1_rmphix_fastqc
Total Sequences	25164052	WUB_VN12_R1_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN12_R1_rmphix_fastqc
Sequence length	50-151	WUB_VN12_R1_rmphix_fastqc
%GC	63	WUB_VN12_R1_rmphix_fastqc
Filename	WUB_VN12_R2_rmphix.fq.gz	WUB_VN12_R2_rmphix_fastqc
File type	Conventional base calls	WUB_VN12_R2_rmphix_fastqc
Encoding	Sanger / Illumina 1.9	WUB_VN12_R2_rmphix_fastqc
Total Sequences	25164052	WUB_VN12_R2_rmphix_fastqc
Sequences flagged as poor quality	0	WUB_VN12_R2_rmphix_fastqc
Sequence length	50-151	WUB_VN12_R2_rmphix_fastqc
%GC	63	WUB_VN12_R2_rmphix_fastqc
